Week,Patch,NoCut
1,0.7,0.7
4,0.0,0.0
7,0.0,0.0
10,2.2,0.0
13,1.1,0.7
16,0.0,0.0
19,1.1,1.1
22,1.4,1.8
25,1.8,1.8
28,1.8,1.8
31,1.1,1.6
34,1.4,1.4
37,1.1,0.7
40,0.0,0.0
43,2.0,1.4
46,3.1,0.0
49,3.2,1.1
52,3.5,1.1
55,2.7,1.1
58,3.2,0.7
61,3.3,0.7
64,3.4,2.6
67,4.0,3.1
70,4.3,3.3
73,3.4,3.3
76,2.0,3.1
79,1.6,3.6
82,1.1,4.1
85,1.8,3.6
88,1.1,3.5
91,0.7,3.3
94,3.1,2.6
97,4.0,3.0
100,4.0,2.5
103,4.8,3.4
106,4.8,2.2
109,3.7,1.6
112,2.8,2.4
115,2.6,3.1
118,1.1,2.7
121,0.7,3.1
124,3.4,3.0
127,0.0,3.2
130,0.0,2.0
133,1.6,2.9
136,1.1,3.4
139,1.4,2.2
142,0.7,2.6
145,2.6,1.6
148,2.6,1.1
151,3.8,1.4
154,4.5,2.2
157,4.5,1.4
160,1.6,0.7
163,1.6,2.0
166,3.2,1.6
169,2.4,3.6
172,2.5,3.1
175,4.1,2.9
178,3.0,3.0
181,1.6,2.6
184,2.2,2.7
187,1.4,3.2
190,1.6,3.1
193,0.0,2.2
196,2.0,1.1
199,0.7,0.7
202,2.8,1.1
205,2.0,0.7
208,2.8,0.7
211,1.4,0.7
214,3.0,3.0
217,0.0,2.7
220,1.6,2.0
223,1.1,2.2
226,2.1,2.6
229,1.6,2.9
232,0.0,1.4
235,1.6,2.4
238,0.7,1.1
241,0.0,1.1
244,0.7,1.1
247,1.1,0.7
250,2.3,0.7
253,2.2,0.0
256,2.2,1.8
259,2.3,1.1
262,2.6,1.4
