Sex,Background,Score
male,a,5
male,a,13
male,a,7
male,a,20
male,a,11
male,a,16
male,a,18
male,a,4
male,a,7
male,a,17
male,a,15
male,a,9
male,a,14
male,a,6
male,a,5
male,a,11
male,a,11
male,a,14
male,a,3
male,a,2
male,a,18
male,a,15
male,a,12
male,a,18
male,a,16
male,a,12
male,a,11
male,a,12
male,a,25
male,a,8
male,a,9
male,a,13
male,a,10
male,a,3
male,a,15
male,a,17
male,a,15
male,a,6
male,a,11
male,a,15
male,a,14
male,a,10
male,a,14
male,a,7
male,a,12
male,a,6
male,a,3
male,a,15
female,a,8
female,a,9
female,a,5
female,a,5
female,a,4
female,a,12
female,a,12
female,a,10
female,a,4
female,a,18
female,a,8
female,a,1
female,a,14
female,a,0
female,a,8
female,a,6
female,a,5
female,a,0
female,a,8
female,a,7
female,a,9
female,a,4
female,a,12
female,a,10
female,a,12
female,a,11
female,a,4
female,a,8
female,a,12
female,a,15
female,a,13
female,a,10
female,a,3
female,a,9
female,a,13
female,a,3
female,a,13
female,a,3
female,a,7
female,a,7
female,a,14
female,a,11
female,a,14
female,a,13
female,a,13
female,a,11
female,a,11
female,a,15
female,a,7
female,a,17
female,a,10
female,a,15
female,a,12
female,a,6
female,a,10
female,a,8
female,a,7
female,a,12
female,a,6
female,a,8
female,a,11
female,a,7
female,a,13
female,a,8
female,a,3
female,a,9
female,a,4
female,a,12
female,a,6
female,a,1
female,a,11
female,a,15
female,a,4
female,a,13
female,a,8
female,a,2
female,a,10
female,a,12
female,a,12
female,a,13
female,a,16
female,a,12
male,b,16
male,b,12
male,b,12
male,b,20
male,b,9
male,b,17
male,b,17
male,b,12
male,b,9
male,b,19
male,b,11
male,b,13
male,b,19
male,b,14
male,b,8
male,b,22
male,b,8
male,b,15
male,b,20
male,b,17
male,b,16
male,b,10
male,b,11
male,b,19
male,b,13
male,b,19
male,b,16
male,b,21
male,b,10
male,b,18
male,b,8
male,b,9
male,b,11
male,b,19
male,b,11
male,b,13
male,b,17
male,b,23
male,b,11
male,b,19
male,b,12
male,b,29
male,b,24
male,b,15
male,b,19
male,b,13
male,b,11
male,b,11
male,b,17
male,b,12
male,b,17
male,b,15
male,b,19
male,b,12
male,b,23
male,b,10
male,b,21
male,b,19
male,b,14
male,b,14
male,b,17
male,b,13
male,b,18
male,b,11
male,b,18
male,b,18
male,b,13
male,b,9
male,b,13
male,b,16
male,b,11
male,b,16
male,b,4
male,b,23
male,b,10
male,b,20
male,b,5
male,b,17
male,b,8
male,b,16
male,b,19
male,b,18
male,b,15
male,b,17
male,b,16
male,b,10
male,b,12
male,b,16
male,b,16
male,b,16
male,b,15
male,b,13
male,b,18
male,b,21
male,b,10
male,b,16
male,b,11
male,b,15
male,b,15
male,b,13
male,b,7
male,b,17
male,b,20
male,b,15
male,b,16
male,b,10
male,b,22
male,b,17
male,b,16
male,b,14
male,b,17
male,b,16
male,b,17
male,b,13
male,b,16
male,b,22
male,b,14
male,b,15
male,b,18
male,b,20
male,b,17
male,b,17
male,b,18
male,b,20
male,b,15
male,b,22
male,b,26
male,b,14
male,b,27
male,b,13
male,b,14
male,b,16
male,b,13
male,b,14
male,b,5
male,b,13
male,b,20
male,b,19
male,b,18
male,b,23
male,b,6
male,b,11
male,b,18
male,b,15
male,b,12
male,b,15
male,b,24
male,b,19
male,b,12
male,b,18
male,b,14
male,b,11
male,b,11
male,b,11
male,b,17
male,b,10
male,b,26
male,b,15
male,b,9
male,b,11
male,b,10
male,b,20
male,b,12
male,b,10
male,b,21
male,b,15
male,b,28
male,b,18
male,b,19
male,b,8
male,b,20
male,b,23
male,b,20
male,b,16
male,b,14
male,b,17
male,b,18
male,b,17
male,b,5
male,b,13
male,b,7
male,b,11
male,b,19
male,b,8
male,b,2
male,b,14
male,b,15
male,b,18
male,b,10
male,b,21
male,b,24
male,b,7
male,b,19
male,b,24
male,b,13
male,b,21
male,b,16
male,b,14
male,b,17
male,b,14
male,b,11
male,b,10
male,b,21
male,b,13
male,b,29
male,b,15
male,b,15
male,b,20
male,b,23
male,b,16
male,b,17
male,b,14
male,b,22
male,b,12
male,b,20
male,b,28
male,b,15
male,b,12
male,b,26
male,b,18
male,b,22
male,b,19
male,b,15
female,b,12
female,b,15
female,b,14
female,b,15
female,b,20
female,b,21
female,b,21
female,b,13
female,b,7
female,b,11
female,b,13
female,b,16
female,b,10
female,b,25
female,b,13
female,b,13
female,b,6
female,b,19
female,b,8
female,b,7
female,b,3
female,b,22
female,b,18
female,b,19
female,b,14
female,b,22
female,b,11
female,b,20
female,b,11
female,b,14
female,b,24
female,b,16
female,b,15
female,b,24
female,b,18
female,b,9
female,b,22
female,b,11
female,b,12
female,b,16
female,b,14
female,b,16
female,b,14
female,b,21
female,b,13
female,b,17
female,b,9
female,b,15
female,b,17
female,b,22
female,b,20
female,b,16
female,b,15
female,b,11
female,b,14
female,b,16
female,b,11
female,b,17
female,b,11
female,b,16
female,b,5
female,b,9
female,b,7
female,b,7
female,b,25
female,b,23
female,b,9
female,b,10
female,b,18
female,b,11
female,b,16
female,b,21
female,b,20
female,b,15
female,b,18
female,b,12
female,b,21
female,b,21
female,b,15
female,b,8
female,b,8
female,b,8
female,b,10
female,b,16
female,b,16
female,b,18
female,b,15
female,b,19
female,b,14
female,b,16
female,b,8
female,b,4
female,b,11
female,b,17
female,b,13
female,b,22
female,b,12
female,b,14
female,b,12
female,b,15
female,b,17
female,b,8
female,b,14
female,b,13
female,b,11
female,b,14
female,b,16
female,b,9
female,b,17
female,b,17
female,b,13
female,b,21
female,b,12
female,b,15
female,b,6
female,b,17
female,b,12
female,b,18
female,b,14
female,b,14
female,b,8
female,b,13
female,b,11
female,b,17
female,b,11
female,b,10
female,b,8
female,b,16
female,b,10
female,b,11
female,b,4
female,b,14
female,b,10
female,b,13
female,b,22
female,b,9
female,b,7
female,b,11
female,b,10
female,b,19
female,b,16
female,b,8
female,b,14
female,b,10
female,b,18
female,b,9
female,b,25
female,b,13
female,b,22
female,b,16
female,b,13
female,b,19
female,b,14
female,b,18
female,b,12
female,b,12
female,b,10
female,b,0
female,b,14
female,b,15
female,b,13
female,b,11
female,b,9
female,b,12
female,b,15
female,b,14
female,b,8
female,b,20
female,b,16
female,b,10
female,b,22
female,b,23
female,b,20
female,b,11
female,b,12
female,b,20
female,b,0
female,b,14
female,b,15
female,b,13
female,b,9
female,b,15
female,b,19
female,b,9
female,b,13
female,b,17
female,b,17
female,b,23
female,b,14
female,b,18
female,b,13
female,b,14
female,b,3
female,b,15
female,b,13
female,b,14
female,b,11
female,b,21
female,b,14
female,b,18
female,b,22
female,b,20
female,b,12
female,b,20
female,b,19
female,b,14
female,b,14
female,b,15
female,b,12
female,b,17
female,b,11
female,b,12
female,b,22
female,b,10
female,b,9
female,b,15
female,b,21
female,b,19
female,b,11
female,b,15
female,b,19
female,b,13
female,b,12
female,b,19
female,b,11
female,b,15
female,b,16
female,b,22
female,b,7
female,b,22
female,b,11
female,b,14
female,b,11
female,b,10
female,b,20
female,b,17
female,b,16
female,b,11
female,b,17
female,b,4
female,b,4
female,b,25
female,b,9
female,b,18
female,b,15
female,b,11
female,b,14
female,b,9
female,b,22
female,b,13
female,b,11
female,b,17
female,b,6
female,b,22
female,b,16
female,b,16
female,b,14
female,b,11
female,b,14
female,b,11
female,b,7
female,b,13
female,b,7
female,b,4
female,b,8
female,b,16
female,b,18
female,b,18
female,b,7
female,b,14
female,b,5
female,b,12
female,b,22
female,b,21
female,b,10
female,b,17
female,b,15
female,b,20
female,b,20
female,b,11
female,b,14
female,b,10
female,b,18
female,b,17
female,b,14
female,b,18
female,b,16
female,b,17
female,b,13
female,b,6
female,b,12
female,b,21
female,b,20
female,b,28
female,b,22
female,b,14
female,b,10
female,b,12
female,b,12
female,b,9
female,b,16
female,b,9
female,b,14
female,b,18
female,b,15
female,b,26
female,b,6
female,b,16
female,b,13
female,b,12
female,b,20
female,b,2
female,b,9
female,b,20
female,b,16
female,b,14
female,b,20
female,b,8
female,b,14
female,b,11
female,b,12
female,b,4
female,b,27
female,b,17
female,b,19
female,b,17
female,b,9
female,b,1
female,b,15
female,b,11
female,b,15
female,b,18
female,b,16
female,b,11
female,b,6
female,b,15
female,b,10
female,b,17
female,b,12
female,b,13
female,b,20
female,b,21
female,b,11
female,b,15
female,b,11
female,b,10
female,b,14
female,b,13
female,b,12
female,b,17
female,b,7
female,b,17
female,b,16
female,b,20
female,b,17
female,b,15
female,b,19
female,b,5
female,b,17
female,b,22
female,b,12
female,b,2
female,b,14
female,b,1
female,b,9
female,b,9
female,b,13
female,b,14
female,b,18
female,b,10
female,b,9
female,b,5
female,b,13
female,b,7
female,b,10
female,b,13
female,b,13
female,b,9
female,b,15
female,b,8
female,b,17
female,b,19
female,b,17
female,b,11
female,b,10
female,b,10
female,b,8
male,c,32
male,c,20
male,c,18
male,c,22
male,c,27
male,c,24
male,c,30
male,c,25
male,c,24
male,c,36
male,c,24
male,c,24
male,c,26
male,c,23
male,c,13
male,c,17
male,c,27
male,c,17
male,c,26
male,c,26
male,c,26
male,c,31
male,c,32
male,c,31
male,c,36
male,c,24
male,c,33
male,c,19
male,c,22
male,c,28
male,c,31
male,c,21
male,c,32
male,c,22
male,c,20
male,c,27
male,c,34
male,c,27
male,c,21
male,c,32
male,c,25
male,c,28
male,c,22
male,c,25
male,c,17
male,c,23
male,c,25
male,c,30
male,c,34
male,c,18
male,c,18
male,c,23
male,c,32
male,c,24
male,c,30
male,c,35
male,c,24
male,c,33
male,c,23
male,c,18
male,c,31
male,c,26
male,c,18
male,c,20
male,c,24
male,c,16
male,c,32
female,c,20
female,c,22
female,c,32
female,c,28
female,c,16
female,c,21
female,c,27
female,c,34
female,c,28
female,c,22
female,c,23
female,c,30
female,c,32
female,c,21
female,c,27
female,c,33
female,c,32
female,c,21
female,c,29
female,c,31
female,c,22
female,c,25
female,c,24
female,c,29
female,c,29
female,c,24
female,c,27
female,c,18
female,c,17
female,c,26
female,c,28
female,c,25
female,c,29
female,c,18
female,c,27
female,c,27
female,c,22
female,c,25
female,c,24
female,c,30
female,c,15
female,c,18
female,c,26
female,c,23
female,c,24
female,c,19
female,c,25
female,c,21
female,c,19
female,c,18
female,c,22
female,c,31
female,c,27
female,c,17
