Beadchip,treatment,time
4849554032_A,Control2,1
4849554032_B,X,2
4849554032_C,X,3
4849554032_D,X,1
4849554032_E,Control2,1
4849554032_F,X,2
4849554032_G,X,3
4849554032_H,X,1
4859453004_A,Control1,2
4859453004_B,Control1,3
4859453004_C,Control1,1
4859453004_D,Y,2
4859453004_E,Y,3
4859453004_F,Y,1
4859453004_G,Control2,2
4859453004_H,Control2,3
4859453022_A,Control1,2
4859453022_B,Control1,3
4859453022_C,Control1,1
4859453022_D,Y,2
4859453022_E,Y,3
4859453022_F,Y,1
4859453022_G,Control2,2
4859453022_H,Control2,3
4859453023_A,Control1,2
4859453023_B,Control1,3
4859453023_C,Control1,1
4859453023_D,Y,2
4859453023_E,Y,3
4859453023_F,Y,1
4859453023_G,Control2,2
4859453023_H,Control2,3
4859453024_A,Control1,2
4859453024_B,Control1,3
4859453024_C,Control1,1
4859453024_D,Y,2
4859453024_E,Y,3
4859453024_F,Y,1
4859453024_G,Control2,2
4859453024_H,Control2,3
4859453027_A,Control2,1
4859453027_B,X,2
4859453027_C,X,3
4859453027_D,X,1
4859453027_E,Control2,1
4859453027_F,X,2
4859453027_G,X,3
4859453027_H,X,1
